iteration,ce_accepted,phi_loss,error_mean,edge_count,topology_entropy
0,0,,,33,3.382999
1,1,,0.27409011463451355,34,3.416350
2,1,,0.027348390543201845,34,3.416350
3,0,,,34,3.416350
4,0,,,34,3.416350
5,0,,,34,3.416350
6,1,,0.05260740127986193,34,3.416340
7,1,,0.05393642906248279,34,3.416275
8,0,,,34,3.416275
9,0,,,34,3.416275
10,1,,0.02749493329042636,34,3.416275
11,0,,,34,3.416275
12,1,,0.02749493329042636,34,3.416275
13,1,,0.02749493329042636,34,3.416275
14,0,,,34,3.416275
15,0,,,34,3.416275
16,1,,0.10924822801482707,33,3.392885
17,0,,,33,3.392885
18,1,,0.2890732818613061,34,3.425837
19,0,,,34,3.425837
20,1,0.020072819729274584,0.2104062842868181,33,3.393995
21,1,,0.2791301778322879,34,3.426886
22,1,,0.3996617597190094,33,3.398759
23,0,,,33,3.398759
24,1,,0.1116432888910568,32,3.372361
25,1,,0.01072677922205353,32,3.372361
26,0,,,32,3.372361
27,1,,0.01072677922205353,32,3.372361
28,1,,0.1300477173387893,32,3.377600
29,0,,,32,3.377600
30,1,,0.28971521484192403,33,3.410732
31,1,,0.008523095411019503,33,3.410732
32,0,,,33,3.410732
33,0,,,33,3.410732
34,0,,,33,3.410732
35,1,,0.2931057090941882,34,3.442733
36,0,,,34,3.442733
37,0,,,34,3.442733
38,1,,0.29679491096356236,35,3.473673
39,0,,,35,3.473673
40,1,0.020108926076952298,0.08864475545994938,35,3.473350
41,0,,,35,3.473350
42,1,,0.011867450665854385,35,3.473350
43,1,,0.007990030571767686,35,3.473350
44,1,,0.0079150775354762,35,3.473350
45,1,,0.007843037259302112,35,3.473350
46,1,,0.011867450665854385,35,3.473350
47,1,,0.011867450665854385,35,3.473350
48,1,,0.0077739907198546305,35,3.473350
49,1,,0.0077080183690332585,35,3.473350
50,1,,0.007645199791091516,35,3.473350
51,1,,0.007585613338250304,35,3.473350
52,1,,0.011867450665854385,35,3.473350
53,1,,0.007529335747100107,35,3.473350
54,1,,0.00747644173862551,35,3.473350
55,0,,,35,3.473350
56,0,,,35,3.473350
57,0,,,35,3.473350
58,1,,0.011867450665854385,35,3.473350
59,1,,0.007427003605287074,35,3.473350
60,1,0.020128131451381724,0.007990030571767686,35,3.473350

# Final authority scores
# a0: 0.4452
# a1: 0.4324
# a2: 0.4595
# a3: 0.5205
# a4: 0.5317
# a5: 0.5371
# a6: 0.5219
# a7: 0.5183
# a8: 0.4488
# a9: 0.4455
